Type of Incident,Year of Incident
THEFT FROM BUILDING> OR EQUAL $750<$2500 (NOT SHOPLIFT),2022
PUBLIC INTOXICATION,2023
INJURED PERSON- PUBLIC PROPERTY (OTHER THAN FIREARM) (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2017
NATURAL DEATH (NO OFFENSE),2023
FORGERY- PRELIMINARY INVESTIGATION,2023
CRIMINAL TRESPASS WARNING,2023
ASSAULT (AGG) -DEADLY WEAPON,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2015
POSS MARIJUANA >2OZ< OR EQUAL 4OZ,2023
BURGLARY OF HABITATION -NO FORCED ENTRY,2022
CRIM MISCHIEF > OR EQUAL $100 < $750,2023
PUBLIC INTOXICATION,2020
PUBLIC INTOXICATION,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
OBSTRUCTION OR RETALIATION,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2015
POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ROBBERY OF INDIVIDUAL (AGG),2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
DWI,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
LOST PROPERTY (NO OFFENSE),2022
DEADLY CONDUCT,2022
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 400G,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
CRIMINAL TRESPASS WARNING,2019
PUBLIC INTOXICATION,2022
UNLAWFUL CARRYING WEAPON,2022
DISCHARGE FIREARM IN CERTAIN MUNICIPALITIES,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
INJURED PERSON - AT HOME (OTHER THAN FIREARM) (NO OFFENSE),2022
CRIMINAL TRESPASS WARNING,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
CRIMINAL TRESPASS WARNING,2023
TRAF VIO -OPERATE MOTOR VEH W/O FIN RESP,2019
POSS MARIJUANA <2OZ,2022
BMV,2021
ROBBERY OF INDIVIDUAL (AGG),2016
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
DISCHARGE FIREARM IN CERTAIN MUNICIPALITIES,2022
POSS CONT SUB PEN GRP 2-A < OR EQUAL 2 OZ,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
NATURAL DEATH (NO OFFENSE),2022
TRAFFIC VIOLATION - HAZARDOUS,2022
POSS OF DANGEROUS DRUG,2023
FOUND PROPERTY (NO OFFENSE),2022
THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),2019
UNEXPLAINED DEATH (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
CRIMINAL TRESPASS AFFIDAVIT,2022
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2022
POSSESSION OF DRUG PARAPHERNALIA,2022
POSS CONT SUB PEN GRP 1 <1G,2020
DWI,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2015
CRIMINAL TRESPASS WARNING,2022
ABANDONED PROPERTY (NO OFFENSE),2020
BMV,2021
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH < $200,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2016
TRAFFIC VIOLATION - HAZARDOUS,2021
ASSAULT (AGG) -DEADLY WEAPON,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
POSS MARIJUANA <2OZ,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
ASSAULT -BODILY INJURY ONLY,2023
UNAUTHORIZED USE OF MOTOR VEH - (ATT) OTHER VEH,2015
DWI,2021
ABANDONED PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNLAWFUL POSS FIREARM BY FELON,2022
ARSON -MOTOR VEH,2022
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2022
ILLEGAL DUMPING >1000 LBS OR > 200 CFT HSC 365.012(g)(1),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
ROBBERY OF INDIVIDUAL (AGG),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
FOUND PROPERTY (NO OFFENSE),2023
BMV,2022
BMV,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
BMV,2018
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
POSS MARIJUANA <2OZ,2022
ROBBERY OF INDIVIDUAL (AGG),2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
CRIMINAL TRESPASS WARNING,2023
ABANDONED PROPERTY (NO OFFENSE),2022
POSS MARIJUANA <2OZ,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
PUBLIC INTOXICATION,2020
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
ASSAULT (AGG) -DEADLY WEAPON,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
POSS MARIJUANA <2OZ,2022
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
BURGLARY OF BUILDING - FORCED ENTRY,2023
PUBLIC INTOXICATION,2022
DISORDERLY CONDUCT DISCHARGE/DISPLAY FIREARM,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
LOST PROPERTY (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2015
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
THEFT - PRELIMINARY INVESTIGATION,2023
PUBLIC INTOXICATION,2019
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2019
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2017
ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
LOST PROPERTY (NO OFFENSE),2022
FOUND PROPERTY (NO OFFENSE),2022
CRIM MISCHIEF > OR EQUAL $100 < $750,2022
INTERFERE W/ CHILD CUSTODY,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BURGLARY OF BUILDING - FORCED ENTRY,2021
UNEXPLAINED DEATH (NO OFFENSE),2022
PUBLIC INTOXICATION,2022
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2022
ABANDONED PROPERTY (NO OFFENSE),2021
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2019
FOUND PROPERTY (NO OFFENSE),2022
POSS CONT SUB PEN GRP 1 <1G,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2016
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
ALARM INCIDENT REPORT (NO OFFENSE),2018
CREDIT CARD OR DEBIT CARD ABUSE - PRELIMINARY INVESTIGATION,2022
UNLAWFUL POSS FIREARM BY FELON,2023
LOST PROPERTY (NO OFFENSE),2022
CRIMINAL TRESPASS WARNING,2021
POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,2023
DEADLY CONDUCT,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
OTHER OFFENSE - MISDEMEANOR,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
CRIMINAL TRESPASS WARNING,2022
ABANDONED PROPERTY (NO OFFENSE),2023
ASSAULT -BODILY INJURY ONLY,2023
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2022
CRIM MISCHIEF > OR EQUAL $100 < $750,2022
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,2020
ABANDONED PROPERTY (NO OFFENSE),2022
FOUND PROPERTY (NO OFFENSE),2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2017
DWI W/OPEN CONTAINER,2021
DWI,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
DWI 1 PREV CONV,2022
SEIZED PROPERTY (NO OFFENSE),2020
POSS CONT SUB PEN GRP 2-A < OR EQUAL 2 OZ,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2017
FOUND PROPERTY (NO OFFENSE),2021
POSS MARIJUANA <2OZ,2020
POSS MARIJUANA >5LBS< OR EQUAL 50LBS,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
TERRORISTIC THREAT FEAR IMMINENT SBI,2023
POSS MARIJUANA >2OZ< OR EQUAL 4OZ,2023
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
ABANDONED PROPERTY (NO OFFENSE),2020
ROBBERY OF INDIVIDUAL,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
INTERFERE W/EMERGENCY CALL,2023
ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,2023
POSS MARIJUANA >5LBS< OR EQUAL 50LBS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2017
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
CRIMINAL TRESPASS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2017
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2022
UNLAWFUL CARRYING WEAPON,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
FOUND PROPERTY (NO OFFENSE),2019
SEIZED PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
BMV,2022
DWI,2022
FOUND PROPERTY (NO OFFENSE),2022
POSS MARIJUANA <2OZ,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
"THEFT OF PROP > OR EQUAL $1,500 BUT <$20K- NOT SHOPLIFT",2015
ABANDONED PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
POSS MARIJUANA <2OZ,2022
CRIMINAL TRESPASS WARNING,2022
LOST PROPERTY (NO OFFENSE),2020
PUBLIC INTOXICATION,2022
DELIVERY MARIJUANA < OR EQUAL 1/4 OZ,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNEXPLAINED DEATH (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2019
POSS CONT SUB PEN GRP 1 <1G *DRUG FREE ZONE*,2022
UNEXPLAINED DEATH (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ROBBERY OF BUSINESS (AGG),2022
ABANDONED PROPERTY (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BMV,2022
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
ABANDONED PROPERTY (NO OFFENSE),2023
ASSAULT -BODILY INJURY ONLY,2022
CRIMINAL TRESPASS,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
ACCIDENT INV DAMAGE TO VEHICLE <$200,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
ABANDONED PROPERTY (NO OFFENSE),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
CRIMINAL TRESPASS WARNING,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2016
POSS MARIJUANA <2OZ,2022
POSS MARIJUANA <2OZ,2022
ASSAULT (AGG) -DEADLY WEAPON,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BURGLARY OF BUILDING - FORCED ENTRY,2021
POSS MARIJUANA <2OZ,2022
CRIMINAL TRESPASS WARNING,2022
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
POSS CONT SUB PEN GRP 2 < 1G,2019
DWI,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
EVADING ARREST DETENTION W/VEH OR WATERCRAFT,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2016
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
FOUND PROPERTY (NO OFFENSE),2022
ABANDONED PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
CRIMINAL TRESPASS WARNING,2023
TRAF VIO -DUTY ON STRIKE FIX/HWY LANDSCAPE > OR EQUAL $200 TC 550.025(b)2,2022
POSS MARIJUANA <2OZ,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
EVADING ARREST DETENTION,2019
CRIMINAL TRESPASS WARNING,2022
INJURED PERSON- PUBLIC PROPERTY (OTHER THAN FIREARM) (NO OFFENSE),2023
LOST PROPERTY (NO OFFENSE),2022
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - PRELIMINARY INVEST,2023
LOST PROPERTY (NO OFFENSE),2023
OPEN BUILDING (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
"THEFT OF PROP > OR EQUAL $750 <$2,500 (SHOPLIFT-NOT EMP) PC31.03(e3)",2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
POSS MARIJUANA <2OZ,2023
BURGLARY OF HABITATION - FORCED ENTRY,2014
BMV,2022
CRIMINAL TRESPASS WARNING,2023
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2016
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2017
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2023
TRAF VIO - DUTY ON STRIKE UNATTENDED (PARKED) VEHICLE >$200 DAMAGE,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),2022
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2023
CRIMINAL TRESPASS WARNING,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2021
HARASSMENT,2022
FOUND PROPERTY (NO OFFENSE),2023
CRIMINAL TRESPASS WARNING,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2016
ROBBERY OF BUSINESS,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
TRAF VIO -DUTY ON STRIKE FIX/HWY LANDSCAPE > OR EQUAL $200 TC 550.025(b)2,2022
CRIMINAL TRESPASS WARNING,2023
OPEN BUILDING (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
SEIZED PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2023
DWI 1 PREV CONV,2019
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2018
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2023
HARASSMENT,2023
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2022
POSS CONT SUB PEN GRP 1 <1G,2022
POSSESSION OF STOLEN PROPERTY,2023
THEFT BY DECEPTION (FRAUD) >OR EQUAL $100 <$750,2022
CRIM MISCHIEF -PRELIMINARY INVESTIGATION,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2014
CRIMINAL TRESPASS WARNING,2023
ABANDONED PROPERTY (NO OFFENSE),2022
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),2022
LOST PROPERTY (NO OFFENSE),2023
ILLEGAL DUMPING LT LIT/WASTE <500LBS OR <100 CFT HSC 365.012(d-1),2022
ASSAULT -BODILY INJURY ONLY,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
CRIMINAL TRESPASS WARNING,2022
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2022
"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",2022
DWI,2023
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2021
"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",2022
ROBBERY OF INDIVIDUAL (AGG),2021
CRIMINAL TRESPASS WARNING,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
FOUND PROPERTY (NO OFFENSE),2022
ASSAULT -VERBAL THREAT,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
BURGLARY OF A COIN OPERATED MACHINE,2022
ABANDONED PROPERTY (NO OFFENSE),2022
BMV,2022
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),2021
BMV,2022
ABANDONED PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2023
BURGLARY OF BUILDING - NO FORCED ENTRY,2018
RECKLESS DAMAGE,2023
POSS OF DANGEROUS DRUG,2022
ROBBERY OF BUSINESS (AGG),2022
BMV,2023
ABANDONED PROPERTY (NO OFFENSE),2022
BMV,2023
ROBBERY OF INDIVIDUAL (AGG),2022
TRAF VIO -DUTY ON STRIKE FIX/HWY LANDSCAPE > OR EQUAL $200 TC 550.025(b)2,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
BURGLARY OF BUILDING - FORCED ENTRY,2022
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2023
CRIMINAL TRESPASS WARNING,2023
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2020
UNLAWFUL CARRYING WEAPON,2022
FORGERY FINANCIAL INSTRUMENT,2021
BMV,2021
"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",2022
NATURAL DEATH (NO OFFENSE),2021
CRIMINAL TRESPASS WARNING,2023
BMV,2022
NATURAL DEATH (NO OFFENSE),2023
LOST PROPERTY (NO OFFENSE),2023
THEFT OF FIREARM,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2016
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2022
DOG BITE - INJURED PERSON,2023
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
PUBLIC INTOXICATION,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
TRAFFIC VIOLATION - NON HAZARDOUS,2022
ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,2022
CRIM MISCHIEF > OR EQUAL $100 < $750,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2022
FOUND PROPERTY (NO OFFENSE),2023
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ROBBERY OF BUSINESS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
"THEFT OF SERVICE > OR EQUAL $750 BUT <$2,500",2021
RECKLESS DAMAGE,2022
ASSAULT -BODILY INJURY ONLY,2022
PUBLIC INTOXICATION,2020
THEFT OF FIREARM,2021
BMV,2022
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2023
CREDIT CARD OR DEBIT CARD ABUSE,2022
"THEFT OF PROP > OR EQUAL $750 <$2,500 (SHOPLIFT-NOT EMP) PC31.03(e3)",2022
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2022
BURGLARY OF BUILDING - FORCED ENTRY,2023
ABANDONED PROPERTY (NO OFFENSE),2022
"BMV <$1,500  2/MORE PREV CONV- (NOT EMPLOYEE)",2022
POSS MARIJUANA <2OZ,2022
POSS MARIJUANA <2OZ,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2023
CRIMINAL TRESPASS WARNING,2023
ASSAULT (AGG) -DEADLY WEAPON,2022
BMV,2020
ROBBERY OF INDIVIDUAL (AGG),2022
FORGERY FINANCIAL INSTRUMENT,2022
CRIMINAL TRESPASS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
POSS MARIJUANA <2OZ,2023
ASSAULT -BODILY INJURY ONLY,2022
BMV,2023
ASSAULT -BODILY INJURY ONLY,2022
ARSON -SINGLE RESIDENCE UNINHABITED,2021
POSS OF DANGEROUS DRUG,2021
ASSAULT (AGG) -DEADLY WEAPON,2022
FORGERY FINANCIAL INSTRUMENT,2021
UNLAWFUL CARRYING WEAPON,2022
